Position,weekday
"95.216225,7.182312,back",6
"95.342522,7.129303,back",6
"95.474083,7.074078,back",6
"95.601257,7.020676,back",6
"95.733978,6.964874,back",6
"95.860504,6.911728,back",6
"95.98613,6.858774,back",6
"96.11792,6.803284,back",6
"96.243629,6.750229,back",6
"96.376282,6.694212,back",6
"96.501808,6.641235,back",6
"96.627029,6.588259,back",6
"96.760567,6.531791,back",6
"96.8881,6.477814,back",6
"97.014488,6.42421,back",6
"97.140495,6.370767,back",6
"97.271484,6.31523,back",6
"97.392822,6.263718,back",6
"97.518013,6.210255,back",6
"97.63089,6.141541,back",6
"97.731865,6.055389,back",6
"97.81398,5.985128,back",6
"97.962158,5.857361,back",6
"98.065407,5.768326,back",6
"98.168983,5.678787,back",6
"98.203804,5.648742,back",6
"98.354721,5.518349,back",6
"98.462967,5.424774,back",6
"98.571465,5.330929,back",6
"98.67347,5.242527,back",6
"98.775841,5.153824,back",6
"98.883614,5.06044,back",6
"98.98719,4.970627,back",6
"99.087646,4.880768,back",6
"99.193047,4.78569,back",6
"99.29406,4.694595,back",6
"99.395157,4.603364,back",6
"99.433533,4.568756,back",6
"99.584221,4.432755,back",6
"99.685539,4.341276,back",6
"99.791145,4.245895,back",6
"99.89077,4.155762,back",6
"99.994431,4.062055,back",6
"100.097572,3.968765,back",6
"100.196243,3.879456,back",6
"100.298927,3.786512,back",6
"100.400124,3.694805,back",6
"100.497345,3.606674,back",6
"100.598457,3.515076,back",6
"100.700127,3.422882,back",6
"100.798424,3.333652,back",6
"100.901329,3.240315,back",6
"101.002617,3.148374,back",6
"101.105286,3.055177,back",6
"101.20256,2.966904,back",6
"101.21785,2.952995,back",6
"101.363914,2.820282,back",6
"101.467354,2.726303,back",6
"101.569954,2.633057,back",6
"101.670135,2.541892,back",6
"101.772087,2.449219,back",6
"101.873428,2.357162,back",6
"101.973343,2.26621,back",6
"102.037987,2.207693,back",6
"102.206276,2.101913,back",6
"102.330498,2.035822,back",6
"102.453514,1.970856,back",6
"102.571388,1.904617,back",6
"102.680641,1.830201,back",6
"102.781364,1.761583,back",6
"102.882072,1.690704,back",6
"102.980156,1.620344,back",6
"103.043053,1.569901,back",6
"103.049576,1.562153,back",6
"103.056442,1.553774,back",6
"103.131271,1.466171,back",6
"103.185295,1.381345,back",6
"103.185593,1.345047,back",6
"103.185059,1.251371,back",6
"103.184822,1.135316,back",6
"103.185722,1.103195,back",6
"103.188141,1.095235,back",6
"103.191086,1.089432,back",6
"103.196709,1.08206,back",6
"103.226326,1.06723,back",6
"103.233543,1.066269,back",6
"103.273949,1.062229,back",6
"103.314201,1.058086,back",6
"103.353554,1.054413,back",6
"103.393661,1.050824,back",6
"103.433578,1.047239,back",6
"103.485481,1.042677,back",6
"103.524124,1.0448,back",6
"103.543114,1.047638,back",6
"103.562386,1.050339,back",6
"103.576973,1.052174,back",6
"103.607315,1.047501,back",6
"103.619087,1.042877,back",6
"103.636406,1.036057,back",6
"103.652695,1.029829,back",6
"103.66893,1.023823,back",6
"103.681938,1.019073,back",6
"103.699905,1.012527,back",6
